nama_usaha,kategori,deskripsi,latitude,longitude,kontak_wa,link_foto,link_gmaps,id_unik,produk_unggulan,jam_operasional,cerita_umkm
"Bibit Nikmat #66",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.138176,111.897863,081234567166,,,umkm-test-66,"Pestisida Alami, Bibit Padi",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bibit Nikmat #66 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Berkah #67",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.140787,111.896549,081234567167,,,umkm-test-67,"Beras Premium, Sembako",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bibit Berkah #67 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Fotokopi Sentosa #68",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.156546,111.898109,081234567168,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-68,"Tampah, Hiasan Dinding, Caping",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Fotokopi Sentosa #68 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Tani Sejahtera #69",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.142138,111.907222,081234567169,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-69,"Instalasi Listrik, Cuci Pakaian",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Tani Sejahtera #69 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Tani Berkah #70",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.148667,111.900709,081234567170,,,umkm-test-70,"Gas LPG 3kg, Sembako, Beras Premium",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Tani Berkah #70 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Kios Murni #71",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.152810,111.902707,081234567171,,,umkm-test-71,"Potong Rambut, Jahit Baju, Servis Elektronik",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Kios Murni #71 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Laundry Nikmat #72",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.149413,111.901667,081234567172,,,umkm-test-72,"Kain Batik, Keranjang Bambu, Tampah",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Laundry Nikmat #72 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Warung Sentosa #73",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.143754,111.905873,081234567173,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-73,"Bakso Urat, Es Teh",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Warung Sentosa #73 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Warung Berkah #74",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.155492,111.914035,081234567174,,,umkm-test-74,"Tampah, Hiasan Dinding",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Warung Berkah #74 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Pupuk Barokah #75",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.146710,111.901078,081234567175,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-75,"Jahit Baju, Potong Rambut, Instalasi Listrik",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Pupuk Barokah #75 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bibit Sumber Rejeki #76",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.141691,111.902700,081234567176,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-76,"Potong Rambut, Jahit Baju",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bibit Sumber Rejeki #76 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Berkah #77",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.150164,111.896608,081234567177,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-77,"Keranjang Bambu, Kain Batik, Caping",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Bengkel Berkah #77 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Rasa #78",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.156803,111.910108,081234567178,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-78,"Beras Premium, Minyak Goreng",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Bengkel Rasa #78 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Laundry Utama #79",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.149096,111.914904,081234567179,,,umkm-test-79,"Pupuk Organik, Alat Tani",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Laundry Utama #79 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Kios Makmur #80",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.145839,111.909142,081234567180,,,umkm-test-80,"Pestisida Alami, Bibit Jagung, Alat Tani",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Kios Makmur #80 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Jahit Sumber Rejeki #81",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.156004,111.910887,081234567181,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-81,"Nasi Pecel, Soto Ayam",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Jahit Sumber Rejeki #81 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Mandiri #82",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.138703,111.908872,081234567182,,,umkm-test-82,"Potong Rambut, Jahit Baju, Servis Elektronik",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Soto Mandiri #82 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Subur #83",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.141049,111.894767,081234567183,,,umkm-test-83,"Soto Ayam, Sate Kambing",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Bakso Subur #83 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Depot Subur #84",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.154038,111.911457,081234567184,,,umkm-test-84,"Caping, Kain Batik",07:00 - 16:00,"Ini adalah kisah perjuangan UMKM Depot Subur #84 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Sari #85",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.155167,111.913858,081234567185,,,umkm-test-85,"Gas LPG 3kg, Beras Premium",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Soto Sari #85 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Nasi Goreng Sentosa #86",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.152730,111.897307,081234567186,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-86,"Nasi Pecel, Mie Ayam",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Nasi Goreng Sentosa #86 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bengkel Lancar #87",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.145364,111.896547,081234567187,,,umkm-test-87,"Es Teh, Soto Ayam",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Bengkel Lancar #87 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Kios Nikmat #88",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.156977,111.907308,081234567188,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-88,"Pestisida Alami, Alat Tani, Bibit Padi",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Kios Nikmat #88 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Kios Murni #89",Pertanian,"Menyediakan berbagai kebutuhan sarana pertanian, bibit unggul, dan pupuk organik berkualitas.",-7.150922,111.900993,081234567189,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-89,"Alat Tani, Pestisida Alami, Bibit Jagung",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Kios Murni #89 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Batik Sari #90",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.138913,111.897108,081234567190,,,umkm-test-90,"Hiasan Dinding, Kain Batik",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Batik Sari #90 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Sumber Rejeki #91",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.148394,111.898937,081234567191,,,umkm-test-91,"Bakso Urat, Es Teh, Soto Ayam",10:00 - 22:00,"Ini adalah kisah perjuangan UMKM Salon Sumber Rejeki #91 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Nasi Goreng Sari #92",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.145213,111.902978,081234567192,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-92,"Instalasi Listrik, Jahit Baju, Servis Elektronik",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Nasi Goreng Sari #92 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Tani Barokah #93",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.143897,111.911599,081234567193,,,umkm-test-93,"Beras Premium, Minyak Goreng, Gas LPG 3kg",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Tani Barokah #93 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Laundry Lancar #94",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.151410,111.897160,081234567194,,,umkm-test-94,"Sembako, Gas LPG 3kg",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Laundry Lancar #94 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Pupuk Rasa #95",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.151636,111.900818,081234567195,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-95,"Bakso Urat, Nasi Pecel",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Pupuk Rasa #95 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Berkah #96",Kuliner,"Menyediakan aneka hidangan makanan dan minuman lezat khas Nusantara dengan harga merakyat.",-7.155595,111.907348,081234567196,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-96,"Gorengan Hangat, Mie Ayam, Bakso Urat",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Salon Berkah #96 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Bakso Indah #97",Belanja,"Menjual barang kebutuhan sehari-hari lengkap, sembako murah, dan kebutuhan rumah tangga.",-7.157773,111.909067,081234567197,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-97,"Gas LPG 3kg, Sembako, Gula Pasir",05:00 - 22:00,"Ini adalah kisah perjuangan UMKM Bakso Indah #97 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Anyaman Utama #98",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.155693,111.900310,081234567198,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-98,"Tampah, Hiasan Dinding",09:00 - 21:00,"Ini adalah kisah perjuangan UMKM Anyaman Utama #98 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Soto Sentosa #99",Jasa,"Melayani jasa perbaikan, perawatan, dan kebutuhan teknis harian Anda secara cepat dan profesional.",-7.144942,111.898380,081234567199,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-99,"Jahit Baju, Instalasi Listrik",06:00 - 15:00,"Ini adalah kisah perjuangan UMKM Soto Sentosa #99 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
"Salon Jaya #100",Kerajinan,"Memproduksi kerajinan tangan berkualitas tinggi berbahan lokal untuk hiasan dan peralatan rumah.",-7.157026,111.899937,081234567200,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=500,,umkm-test-100,"Keranjang Bambu, Kain Batik",08:00 - 17:00,"Ini adalah kisah perjuangan UMKM Salon Jaya #100 yang didirikan untuk melayani kebutuhan masyarakat sekitar Campurejo dengan dedikasi tinggi."
